StudentID,Name,Gender,Age,DOB,Grade,Section,City,ParentalEducationLevel,InternetQuality,DeviceUsedForStudy,LearningStyle,BehaviourRating,ClubMember,MathScore,PhysicsScore,ChemistryScore,BiologyScore,EnglishScore,ComputerScore,AverageMarks,GPA,Passed,AttendancePercent,TotalFees,FeesPaid,RemainingFees,StudyHoursPerWeek,TestPreparation,HealthFactor,TransportRequired,OnlineClassParticipation,AssignmentsSubmitted,ProjectsCompleted
S2117,Zoya Khanna,Other,19,2006-07-05,11,E,Pune,Postgraduate,Poor,Laptop,Auditory,Excellent,NSS,96,57,33,40,69,60,59.17,5.92,Yes,67.5,30000,29695,305,30,No,Poor,Yes,1.8,44,0
S2118,Tanvi Gupta,Female,16,2009-11-18,9,C,Chennai,Postgraduate,Average,None,Reading/Writing,Poor,Debate,97,35,50,56,85,33,59.33,5.93,Yes,73.9,40000,4290,35710,27,No,Good,No,9.3,13,3
S2119,Aarav Khanna,Female,17,2008-03-17,12,A,Kolkata,Postgraduate,Average,Tablet,Visual,Average,Robotics,81,66,26,67,86,39,60.83,6.08,No,94.8,60000,777,59223,24,No,Poor,Yes,3.4,29,2
S2120,Siddharth Gupta,Other,14,2011-11-26,10,A,Hyderabad,Graduate,Good,Laptop,Visual,Poor,Music,75,42,35,72,30,90,57.33,5.73,No,54.5,100000,31334,68666,17,No,Average,No,1.3,15,5
S2121,Krisha Mehta,Female,14,2011-11-23,9,D,Kolkata,Graduate,Poor,None,Kinesthetic,Poor,Dance,42,45,91,52,73,64,61.17,6.12,Yes,57.5,30000,1450,28550,4,Yes,Good,Yes,3.2,10,3
S2122,Vihaan Khanna,Male,15,2010-09-06,11,D,Pune,Secondary,Excellent,Phone,Reading/Writing,Average,Music,43,38,59,71,91,100,67.0,6.7,Yes,89.6,30000,23801,6199,28,No,Average,Yes,4.7,31,5
S2123,Krisha Verma,Other,16,2009-05-02,12,A,Pune,Primary,Good,Tablet,Reading/Writing,Good,Sports,94,80,64,31,49,50,61.33,6.13,No,84.2,60000,56413,3587,12,No,Average,Yes,9.4,36,10
S2124,Ritika Shah,Male,19,2006-01-30,12,E,Pune,Primary,Poor,Tablet,Visual,Good,None,52,91,38,72,86,78,69.5,6.95,Yes,83.6,80000,18910,61090,24,Yes,Poor,Yes,8.8,36,5
S2125,Karan Reddy,Female,19,2006-07-31,10,D,Hyderabad,Secondary,Poor,Laptop,Reading/Writing,Good,None,50,40,96,38,50,71,57.5,5.75,Yes,60.1,60000,38125,21875,25,No,Poor,No,2.5,27,1
S2126,Ritika Khandelwal,Other,19,2006-07-06,10,B,Pune,Primary,Good,Laptop,Kinesthetic,Average,None,63,96,23,51,96,57,64.33,6.43,No,98.2,100000,72926,27074,14,Yes,Good,Yes,6.6,48,5
S2127,Aisha Khanna,Male,15,2010-09-22,10,C,Bengaluru,None,Average,Laptop,Kinesthetic,Good,Robotics,86,53,39,50,30,64,53.67,5.37,No,97.2,30000,20167,9833,30,No,Poor,No,8.2,44,10
S2128,Vihaan Bose,Female,19,2005-12-16,12,C,Pune,Primary,Excellent,None,Auditory,Excellent,Coding,31,87,81,66,96,54,69.17,6.92,No,54.1,40000,29462,10538,26,No,Good,Yes,5.6,39,4
S2129,Riya Joshi,Female,19,2006-08-30,11,E,Delhi,Secondary,Excellent,Phone,Visual,Good,None,96,98,34,46,28,43,57.5,5.75,No,66.5,80000,1736,78264,14,Yes,Average,No,4.8,12,2
S2130,Siddharth Kumar,Male,19,2006-02-08,9,C,Mumbai,None,Excellent,Tablet,Visual,Average,NCC,52,46,69,51,39,38,49.17,4.92,Yes,75.1,100000,81622,18378,12,Yes,Good,Yes,9.4,39,2
S2131,Arjun Kapoor,Female,18,2007-06-22,10,A,Kolkata,Graduate,Good,Tablet,Visual,Excellent,Music,22,81,50,68,72,62,59.17,5.92,No,90.3,80000,52445,27555,4,Yes,Good,Yes,5.5,31,4
S2132,Aisha Bhatia,Male,17,2008-01-06,10,B,Hyderabad,None,Poor,Tablet,Auditory,Poor,NCC,59,62,42,55,67,35,53.33,5.33,Yes,68.6,60000,53016,6984,5,No,Average,Yes,5.0,22,0
S2133,Siddharth Bose,Other,14,2011-02-24,11,A,Delhi,Graduate,Average,Phone,Kinesthetic,Excellent,Dance,49,54,40,95,65,49,58.67,5.87,Yes,69.6,60000,55859,4141,16,No,Average,Yes,7.2,41,0
S2134,Priya Mehta,Other,14,2011-06-23,11,A,Chennai,None,Average,Tablet,Visual,Poor,Dance,82,47,69,93,59,80,71.67,7.17,Yes,81.4,40000,5972,34028,24,No,Average,No,7.4,33,1
S2135,Vihaan Bose,Male,18,2007-10-07,9,B,Mumbai,Postgraduate,Poor,Laptop,Reading/Writing,Good,None,83,47,76,26,76,39,57.83,5.78,No,55.9,40000,11638,28362,28,No,Poor,Yes,8.8,34,3
S2136,Aarav Verma,Other,18,2006-12-12,11,B,Delhi,Primary,Good,Phone,Auditory,Good,Robotics,42,28,88,27,42,95,53.67,5.37,No,99.7,100000,35899,64101,13,No,Good,Yes,4.2,16,1
S2137,Aisha Reddy,Female,17,2008-09-06,10,E,Mumbai,Primary,Poor,None,Visual,Poor,Sports,58,89,39,72,62,98,69.67,6.97,Yes,92.0,40000,6598,33402,25,No,Good,Yes,4.8,36,10
S2138,Ishaan Kapoor,Male,14,2011-10-17,12,B,Pune,None,Poor,Tablet,Reading/Writing,Excellent,Music,97,49,53,26,89,45,59.83,5.98,No,98.5,50000,3899,46101,29,No,Average,Yes,6.1,21,7
S2139,Aditya Gupta,Female,19,2006-09-04,10,C,Pune,None,Good,None,Visual,Good,Coding,88,51,57,28,90,81,65.83,6.58,No,64.0,80000,25211,54789,16,Yes,Average,Yes,3.8,37,10
S2140,Rohit Verma,Female,19,2006-07-01,11,C,Kolkata,Postgraduate,Average,Phone,Auditory,Excellent,Debate,34,69,100,52,94,34,63.83,6.38,Yes,71.9,100000,17935,82065,12,No,Average,No,3.2,30,9
S2141,Rohit Dutta,Female,18,2007-03-30,12,B,Mumbai,None,Excellent,Tablet,Auditory,Poor,NCC,65,74,38,90,41,84,65.33,6.53,Yes,93.2,60000,6271,53729,11,No,Poor,Yes,6.8,18,1
S2142,Vihaan Verma,Female,18,2007-09-25,12,C,Bengaluru,Secondary,Average,Phone,Visual,Excellent,NSS,84,87,47,91,74,38,70.17,7.02,Yes,67.5,40000,38548,1452,20,No,Average,Yes,1.0,19,1
S2143,Kavya Mehta,Male,17,2008-02-16,10,C,Pune,Postgraduate,Average,Laptop,Auditory,Poor,None,93,48,78,86,53,49,67.83,6.78,Yes,95.1,100000,19059,80941,24,Yes,Average,No,9.5,22,10
S2144,Ishaan Chopra,Female,15,2010-03-23,12,D,Hyderabad,None,Average,Tablet,Reading/Writing,Poor,Robotics,60,59,71,76,39,58,60.5,6.05,Yes,64.5,80000,33754,46246,4,Yes,Good,Yes,3.7,14,5
S2145,Ritika Bose,Female,14,2011-01-20,11,A,Bengaluru,None,Average,Tablet,Auditory,Average,Sports,91,22,43,51,52,35,49.0,4.9,No,91.8,30000,28155,1845,16,Yes,Average,No,3.7,49,10
S2146,Karan Mehta,Other,19,2005-12-07,9,A,Hyderabad,Primary,Excellent,Tablet,Kinesthetic,Poor,Drama,93,96,56,84,33,43,67.5,6.75,Yes,67.1,40000,28970,11030,19,Yes,Poor,No,1.8,33,0
S2147,Priya Khanna,Other,16,2009-05-15,9,C,Bengaluru,Primary,Average,Tablet,Visual,Good,Music,72,39,87,31,92,87,68.0,6.8,No,60.7,30000,2304,27696,5,Yes,Average,Yes,5.4,35,8
S2148,Rohit Chopra,Female,16,2009-04-03,11,B,Pune,Postgraduate,Average,Laptop,Auditory,Average,Drama,96,75,62,71,61,55,70.0,7.0,Yes,68.2,40000,16707,23293,19,Yes,Average,Yes,9.6,18,0
S2149,Ishaan Sharma,Other,14,2011-02-19,11,D,Delhi,None,Average,None,Kinesthetic,Average,Music,35,37,22,36,32,58,36.67,3.67,No,55.9,100000,59586,40414,14,Yes,Poor,No,2.5,34,8
S2150,Priya Reddy,Male,18,2007-05-12,9,B,Bengaluru,Secondary,Average,None,Reading/Writing,Good,Coding,82,32,64,58,52,89,62.83,6.28,No,65.8,40000,19170,20830,16,No,Good,Yes,9.4,11,8
S2151,Ishaan Sharma,Other,16,2009-05-25,10,A,Nagpur,Primary,Poor,None,Reading/Writing,Average,Robotics,30,90,43,62,76,70,61.83,6.18,No,75.5,60000,21619,38381,24,Yes,Poor,Yes,3.8,29,0
S2152,Karan Sharma,Female,15,2010-01-04,10,A,Delhi,Secondary,Excellent,Laptop,Kinesthetic,Average,Sports,41,98,53,97,87,56,72.0,7.2,Yes,64.7,60000,18809,41191,29,No,Average,Yes,4.5,16,10
S2153,Tanvi Gupta,Other,14,2011-07-30,11,C,Nagpur,Secondary,Good,Tablet,Visual,Poor,Robotics,72,92,76,71,58,94,77.17,7.72,Yes,64.4,60000,6357,53643,19,No,Good,Yes,6.5,47,4
S2154,Zoya Khanna,Other,17,2007-12-08,9,E,Mumbai,None,Good,None,Auditory,Good,NSS,72,78,31,37,46,46,51.67,5.17,No,84.3,40000,39928,72,11,No,Average,No,6.5,11,1
S2155,Ritika Shah,Female,15,2009-12-10,11,C,Hyderabad,Secondary,Poor,Phone,Kinesthetic,Excellent,Robotics,50,73,23,81,93,44,60.67,6.07,No,57.7,50000,18034,31966,8,No,Poor,Yes,7.3,28,10
S2156,Riya Shah,Male,17,2008-10-12,11,D,Bengaluru,Secondary,Good,Phone,Visual,Excellent,NSS,68,62,56,25,67,57,55.83,5.58,No,91.4,80000,43377,36623,1,No,Average,No,3.1,48,10
S2157,Arjun Malhotra,Other,14,2010-12-05,9,D,Mumbai,Secondary,Good,Phone,Kinesthetic,Good,NSS,73,67,32,71,93,99,72.5,7.25,No,68.2,40000,6505,33495,17,No,Good,Yes,5.1,21,2
S2158,Rohit Reddy,Female,19,2006-04-19,9,C,Mumbai,None,Average,None,Visual,Average,Dance,60,42,34,26,95,65,53.67,5.37,No,84.1,100000,51950,48050,17,Yes,Good,No,4.6,19,1
S2159,Neha Patel,Male,15,2010-08-31,12,E,Pune,None,Good,Tablet,Reading/Writing,Poor,Robotics,66,74,70,72,84,46,68.67,6.87,Yes,63.9,50000,305,49695,22,No,Good,No,5.3,47,2
S2160,Arjun Dutta,Other,19,2006-08-26,9,E,Chennai,Secondary,Average,Laptop,Visual,Poor,None,65,47,98,53,89,77,71.5,7.15,Yes,65.8,50000,9612,40388,7,No,Average,No,1.9,14,9
S2161,Maya Joshi,Other,16,2009-05-31,9,B,Kolkata,Postgraduate,Excellent,Tablet,Reading/Writing,Average,Sports,97,78,71,24,82,68,70.0,7.0,No,92.8,50000,33561,16439,15,Yes,Average,Yes,3.7,46,10
S2162,Karan Verma,Male,18,2007-11-25,10,D,Delhi,Primary,Average,None,Kinesthetic,Poor,None,54,25,52,81,49,95,59.33,5.93,No,67.2,40000,7270,32730,30,No,Good,No,4.7,30,7
S2163,Ritika Kapoor,Other,17,2008-08-20,12,C,Nagpur,Primary,Poor,Laptop,Visual,Poor,Dance,59,48,57,70,66,100,66.67,6.67,Yes,97.5,60000,4091,55909,16,Yes,Average,Yes,1.3,35,3
S2164,Maya Kumar,Female,18,2007-05-04,12,D,Delhi,Graduate,Poor,None,Kinesthetic,Average,Drama,59,83,29,25,59,83,56.33,5.63,No,83.4,60000,2798,57202,27,Yes,Average,Yes,2.8,43,4
S2165,Aditya Verma,Other,19,2006-05-02,10,D,Pune,Graduate,Good,None,Visual,Good,NSS,62,78,68,58,67,88,70.17,7.02,Yes,76.2,30000,20832,9168,23,No,Average,Yes,1.7,37,7
S2166,Rohit Sharma,Other,19,2006-06-06,12,C,Bengaluru,None,Good,Laptop,Kinesthetic,Good,Coding,37,87,91,69,51,64,66.5,6.65,Yes,66.1,80000,67765,12235,26,Yes,Poor,No,2.8,44,2
S2167,Riya Khanna,Other,19,2006-08-09,9,E,Mumbai,Graduate,Good,Tablet,Visual,Poor,Drama,40,65,92,33,91,37,59.67,5.97,Yes,72.3,40000,15946,24054,23,Yes,Good,No,3.0,29,2
S2168,Arjun Kapoor,Other,19,2006-01-26,12,B,Chennai,Primary,Poor,Laptop,Kinesthetic,Excellent,Dance,64,49,84,78,50,58,63.83,6.38,Yes,82.2,100000,8995,91005,14,Yes,Good,Yes,6.1,38,8
S2169,Neha Agarwal,Other,17,2008-08-10,9,E,Bengaluru,Graduate,Good,Laptop,Reading/Writing,Poor,NSS,52,42,20,89,52,96,58.5,5.85,No,68.4,50000,4057,45943,29,Yes,Average,Yes,7.9,50,7
S2170,Kavya Agarwal,Other,17,2008-02-09,9,A,Hyderabad,Secondary,Poor,Phone,Reading/Writing,Excellent,Music,43,46,36,79,74,30,51.33,5.13,No,93.5,100000,41396,58604,4,No,Average,No,4.7,50,8
S2171,Ishaan Sharma,Male,18,2007-03-03,9,E,Pune,Graduate,Good,None,Visual,Average,Dance,33,58,70,39,68,96,60.67,6.07,Yes,89.5,100000,65460,34540,15,No,Poor,Yes,4.0,46,7
S2172,Arjun Kumar,Other,14,2011-06-19,10,D,Kolkata,Postgraduate,Average,Laptop,Reading/Writing,Average,Dance,54,34,89,85,74,76,68.67,6.87,Yes,96.4,80000,37884,42116,18,Yes,Good,No,1.5,16,7
S2173,Sana Verma,Female,16,2008-12-14,12,A,Bengaluru,None,Good,Tablet,Kinesthetic,Excellent,NSS,81,37,98,49,91,68,70.67,7.07,Yes,79.0,30000,25348,4652,28,Yes,Poor,No,1.0,44,10
S2174,Riya Agarwal,Other,16,2009-06-14,9,A,Nagpur,None,Excellent,Tablet,Reading/Writing,Average,Debate,21,74,24,69,32,34,42.33,4.23,No,51.1,50000,35966,14034,25,No,Poor,No,6.9,46,10
S2175,Ishaan Chopra,Other,16,2009-02-03,9,B,Chennai,Postgraduate,Average,Phone,Visual,Average,Debate,44,28,94,42,31,37,46.0,4.6,No,87.1,80000,47141,32859,26,No,Poor,No,7.1,48,1
S2176,Sana Kumar,Male,15,2010-01-29,10,D,Chennai,Graduate,Poor,None,Auditory,Good,Debate,23,36,45,35,53,74,44.33,4.43,No,61.2,30000,4176,25824,19,Yes,Average,Yes,9.1,13,10
S2177,Kavya Bhatia,Female,14,2011-06-16,12,C,Delhi,Primary,Good,Tablet,Kinesthetic,Poor,Robotics,76,61,87,94,91,63,78.67,7.87,Yes,70.2,30000,4059,25941,14,Yes,Good,Yes,5.3,12,8
S2178,Tanvi Gupta,Male,15,2010-06-09,12,D,Bengaluru,Secondary,Poor,Phone,Visual,Average,Drama,70,60,67,56,78,32,60.5,6.05,No,80.4,60000,34052,25948,22,No,Poor,Yes,7.3,19,6
S2179,Tanvi Dutta,Female,17,2008-02-18,9,D,Pune,Postgraduate,Good,Laptop,Reading/Writing,Good,Dance,57,50,97,21,91,85,66.83,6.68,No,68.4,80000,19684,60316,21,No,Good,Yes,2.3,10,0
S2180,Maya Malhotra,Other,17,2007-12-01,9,B,Bengaluru,None,Average,Phone,Reading/Writing,Excellent,Music,20,43,64,69,35,66,49.5,4.95,No,57.1,100000,73100,26900,16,No,Good,No,1.7,39,8
S2181,Karan Khandelwal,Female,15,2010-08-07,11,D,Hyderabad,None,Good,Tablet,Reading/Writing,Average,Sports,74,91,20,83,80,33,63.5,6.35,No,94.0,30000,24128,5872,1,Yes,Average,Yes,5.2,24,0
S2182,Aditya Chopra,Other,14,2011-07-27,11,D,Nagpur,Postgraduate,Average,None,Auditory,Good,NSS,59,86,90,97,88,93,85.5,8.55,Yes,62.2,80000,74202,5798,29,No,Poor,Yes,2.5,31,3
S2183,Kavya Nair,Male,16,2009-03-30,12,D,Delhi,Graduate,Good,Laptop,Reading/Writing,Poor,Sports,96,100,100,59,94,85,89.0,8.9,Yes,80.1,50000,41136,8864,16,No,Average,Yes,3.9,26,8
S2184,Aarav Patel,Female,19,2006-08-21,9,D,Nagpur,None,Excellent,Tablet,Visual,Excellent,Dance,31,56,100,70,86,48,65.17,6.52,No,53.9,100000,23581,76419,17,No,Average,No,2.2,21,1
S2185,Kavya Nair,Male,15,2010-05-10,12,A,Nagpur,Secondary,Good,Tablet,Auditory,Good,Sports,75,24,76,41,52,88,59.33,5.93,No,97.2,40000,16507,23493,12,Yes,Poor,Yes,4.1,45,4
S2186,Ishaan Bhatia,Female,14,2011-09-26,9,E,Hyderabad,None,Good,None,Reading/Writing,Good,Debate,29,24,79,59,92,72,59.17,5.92,No,55.6,60000,3642,56358,24,No,Average,Yes,7.4,14,2
S2187,Aisha Shah,Other,14,2010-12-02,9,D,Chennai,Secondary,Average,Tablet,Kinesthetic,Poor,Coding,60,95,46,91,87,66,74.17,7.42,Yes,92.0,50000,2767,47233,13,No,Average,Yes,9.8,40,10
S2188,Aarav Verma,Male,14,2011-08-01,9,A,Bengaluru,Primary,Poor,None,Kinesthetic,Excellent,NCC,59,20,51,41,75,79,54.17,5.42,No,69.1,50000,1245,48755,2,No,Good,Yes,6.6,39,8
S2189,Ishaan Malhotra,Other,17,2008-07-20,12,B,Nagpur,Primary,Good,Laptop,Kinesthetic,Good,Coding,38,61,70,58,49,81,59.5,5.95,Yes,82.0,60000,30725,29275,17,Yes,Poor,Yes,1.8,42,7
S2190,Siddharth Reddy,Female,14,2011-07-26,12,D,Chennai,None,Good,Phone,Kinesthetic,Poor,Debate,100,94,80,52,70,57,75.5,7.55,Yes,77.7,40000,13539,26461,12,No,Poor,Yes,6.6,12,2
S2191,Karan Gupta,Male,16,2009-01-25,10,D,Nagpur,None,Good,Tablet,Kinesthetic,Good,NCC,91,20,62,48,75,57,58.83,5.88,No,78.7,50000,26655,23345,25,Yes,Poor,Yes,9.1,13,1
S2192,Vivaan Reddy,Other,19,2006-10-08,9,D,Delhi,Primary,Average,Phone,Auditory,Good,NSS,71,41,60,71,36,49,54.67,5.47,Yes,95.5,80000,10358,69642,9,Yes,Poor,No,3.0,24,3
S2193,Ishaan Reddy,Other,14,2011-03-09,9,C,Pune,Primary,Average,None,Kinesthetic,Excellent,Coding,87,94,20,64,87,82,72.33,7.23,No,97.9,100000,43803,56197,23,No,Average,No,9.4,34,0
S2194,Tanvi Verma,Male,19,2006-02-24,9,B,Delhi,Graduate,Average,None,Reading/Writing,Good,Sports,52,31,99,92,34,35,57.17,5.72,No,63.7,80000,60057,19943,11,No,Poor,No,7.5,29,2
S2195,Tanvi Nair,Male,19,2006-01-05,12,A,Kolkata,Graduate,Good,None,Kinesthetic,Excellent,None,45,62,38,77,34,66,53.67,5.37,Yes,59.6,40000,22535,17465,21,No,Average,No,9.3,47,10
S2196,Rohit Singh,Other,17,2008-04-28,9,B,Hyderabad,Postgraduate,Good,Laptop,Kinesthetic,Poor,None,85,68,57,30,36,61,56.17,5.62,No,58.0,60000,59090,910,19,No,Average,No,6.7,19,9
S2197,Arjun Kumar,Male,16,2009-10-17,9,E,Chennai,Postgraduate,Poor,Tablet,Reading/Writing,Excellent,Sports,79,27,54,54,25,72,51.83,5.18,No,55.5,40000,19236,20764,25,Yes,Average,No,7.7,48,0
S2198,Arjun Sharma,Female,17,2008-06-21,12,B,Hyderabad,Primary,Excellent,Phone,Auditory,Good,Music,97,26,34,95,49,78,63.17,6.32,No,68.4,50000,15427,34573,22,Yes,Average,Yes,3.5,10,8
S2199,Ishaan Bose,Female,19,2006-10-20,9,C,Nagpur,Postgraduate,Good,Phone,Reading/Writing,Poor,None,80,23,32,53,72,95,59.17,5.92,No,95.2,30000,7170,22830,9,No,Poor,No,3.4,42,7
S2200,Maya Mehta,Female,16,2009-07-01,9,E,Pune,Secondary,Excellent,Laptop,Reading/Writing,Good,Sports,90,36,66,73,54,30,58.17,5.82,No,79.9,30000,5385,24615,26,No,Poor,Yes,6.5,47,1
S2201,Riya Mehta,Other,15,2010-06-28,10,E,Chennai,Postgraduate,Poor,Tablet,Auditory,Poor,Coding,76,41,81,40,62,49,58.17,5.82,Yes,75.8,100000,30998,69002,26,No,Average,Yes,1.5,21,0
S2202,Sana Nair,Other,18,2007-01-23,10,C,Hyderabad,None,Poor,Tablet,Reading/Writing,Good,Music,24,89,76,75,26,84,62.33,6.23,No,78.2,50000,14934,35066,21,No,Poor,No,9.7,37,5
S2203,Zoya Mehta,Female,17,2008-02-16,12,E,Hyderabad,None,Poor,None,Kinesthetic,Excellent,Debate,22,84,47,82,32,47,52.33,5.23,No,73.0,30000,12831,17169,16,No,Poor,Yes,5.4,23,6
S2204,Rohit Malhotra,Female,14,2011-02-13,11,A,Delhi,Graduate,Poor,Tablet,Reading/Writing,Average,NSS,21,57,81,77,31,45,52.0,5.2,No,97.1,100000,21259,78741,12,No,Poor,Yes,6.6,11,10
S2205,Priya Reddy,Female,17,2008-11-10,12,D,Chennai,Secondary,Poor,Phone,Auditory,Good,NSS,70,41,50,68,49,93,61.83,6.18,Yes,62.8,80000,23527,56473,27,Yes,Average,No,3.7,27,9
S2206,Maya Dutta,Female,19,2006-04-11,10,B,Hyderabad,Primary,Excellent,None,Kinesthetic,Average,Coding,49,72,50,24,27,34,42.67,4.27,No,84.0,100000,63586,36414,3,Yes,Average,No,7.1,32,2
S2207,Vivaan Kumar,Other,18,2007-04-07,11,C,Hyderabad,Primary,Excellent,Tablet,Visual,Excellent,NCC,33,22,59,77,34,82,51.17,5.12,No,82.3,40000,35394,4606,4,No,Average,Yes,6.0,26,4
S2208,Zoya Sharma,Female,14,2011-10-18,12,D,Hyderabad,Postgraduate,Good,Phone,Kinesthetic,Excellent,Music,28,65,80,66,60,82,63.5,6.35,No,80.6,40000,27146,12854,19,No,Average,Yes,1.0,30,10
S2209,Vihaan Khanna,Male,15,2010-10-30,12,E,Kolkata,None,Average,Laptop,Kinesthetic,Poor,NCC,62,87,55,81,91,48,70.67,7.07,Yes,60.5,40000,28875,11125,22,Yes,Poor,Yes,4.7,39,3
S2210,Rohit Bose,Male,19,2006-09-10,9,A,Hyderabad,Postgraduate,Average,Tablet,Visual,Average,None,29,98,49,40,49,82,57.83,5.78,No,85.1,30000,16571,13429,27,No,Poor,Yes,8.6,12,10
S2211,Vihaan Reddy,Other,14,2011-03-08,12,E,Bengaluru,Postgraduate,Average,Phone,Auditory,Poor,Debate,92,63,38,30,45,39,51.17,5.12,No,53.2,30000,20599,9401,7,Yes,Poor,Yes,9.5,26,2
S2212,Neha Malhotra,Male,18,2007-03-08,11,C,Nagpur,Secondary,Average,Tablet,Reading/Writing,Poor,NSS,60,57,99,63,63,68,68.33,6.83,Yes,95.0,40000,32261,7739,7,Yes,Poor,Yes,7.2,24,4
S2213,Aisha Malhotra,Other,14,2011-09-29,9,A,Hyderabad,None,Excellent,Phone,Auditory,Average,Robotics,95,65,61,52,51,57,63.5,6.35,Yes,64.5,100000,47598,52402,3,Yes,Good,No,3.9,46,3
S2214,Karan Khandelwal,Female,19,2006-03-08,12,A,Nagpur,Postgraduate,Good,None,Kinesthetic,Average,Sports,69,77,64,25,90,90,69.17,6.92,No,61.8,100000,80259,19741,18,Yes,Average,Yes,1.0,32,1
S2215,Ishaan Bhatia,Other,16,2009-06-07,9,D,Pune,Postgraduate,Poor,Laptop,Reading/Writing,Excellent,Drama,41,68,60,63,58,44,55.67,5.57,Yes,67.7,40000,23239,16761,27,Yes,Average,Yes,7.0,36,2
S2216,Vivaan Khandelwal,Male,17,2008-04-07,10,E,Delhi,Secondary,Good,Tablet,Kinesthetic,Excellent,Music,50,87,84,98,92,63,79.0,7.9,Yes,97.5,100000,90275,9725,6,Yes,Good,Yes,5.7,23,2
S2217,Aditya Shah,Male,17,2008-10-01,12,A,Chennai,None,Good,Tablet,Reading/Writing,Good,None,33,58,48,38,97,31,50.83,5.08,No,81.6,30000,24426,5574,29,Yes,Average,Yes,7.8,20,4
S2218,Rohit Joshi,Other,15,2010-04-21,12,B,Hyderabad,None,Excellent,Laptop,Auditory,Good,Sports,80,71,84,34,29,63,60.17,6.02,No,89.8,100000,57696,42304,17,Yes,Poor,No,4.7,21,0
S2219,Arjun Khandelwal,Female,18,2006-12-02,9,D,Kolkata,Primary,Excellent,None,Reading/Writing,Average,NCC,58,34,65,26,40,87,51.67,5.17,No,52.3,30000,8681,21319,30,No,Good,Yes,3.9,39,0
S2220,Kavya Singh,Male,18,2007-07-14,10,E,Bengaluru,Graduate,Excellent,None,Auditory,Average,NSS,31,93,23,97,26,31,50.17,5.02,No,61.1,80000,25655,54345,10,Yes,Good,Yes,3.9,46,8
S2221,Zoya Reddy,Other,18,2007-01-12,11,A,Nagpur,Postgraduate,Poor,Phone,Reading/Writing,Poor,Robotics,50,89,43,34,46,45,51.17,5.12,Yes,56.0,60000,45541,14459,22,Yes,Poor,No,7.5,40,0
S2222,Maya Kapoor,Male,15,2010-05-17,9,B,Kolkata,None,Good,Tablet,Auditory,Good,Debate,61,95,49,28,92,57,63.67,6.37,No,62.6,40000,9920,30080,14,Yes,Average,Yes,3.3,48,1
S2223,Vivaan Bose,Other,17,2008-06-24,11,C,Mumbai,Secondary,Excellent,Tablet,Visual,Poor,Debate,26,42,82,95,85,74,67.33,6.73,No,76.1,50000,25458,24542,17,Yes,Poor,No,2.0,25,6
S2224,Vihaan Sharma,Female,19,2006-08-23,10,A,Mumbai,Secondary,Good,Laptop,Kinesthetic,Good,Robotics,42,35,92,84,63,70,64.33,6.43,Yes,80.7,60000,55645,4355,24,No,Good,Yes,2.8,34,1
S2225,Rohit Sharma,Other,18,2007-08-13,12,E,Delhi,Postgraduate,Good,Tablet,Visual,Poor,NSS,30,75,87,29,75,81,62.83,6.28,No,74.5,100000,56488,43512,18,No,Average,No,7.2,27,7
S2226,Aditya Khanna,Other,17,2008-09-04,10,D,Chennai,Primary,Average,Tablet,Auditory,Good,Dance,33,82,24,33,59,70,50.17,5.02,No,51.0,60000,35668,24332,23,Yes,Average,Yes,6.4,16,8
S2227,Tanvi Bose,Female,17,2008-01-03,9,E,Pune,None,Excellent,Laptop,Reading/Writing,Poor,Dance,48,57,24,70,97,84,63.33,6.33,No,88.4,100000,19013,80987,9,Yes,Average,Yes,9.9,30,10
S2228,Aditya Verma,Other,19,2006-03-06,11,B,Hyderabad,Postgraduate,Poor,Phone,Visual,Average,NSS,41,89,58,48,80,68,64.0,6.4,Yes,61.9,80000,63611,16389,8,No,Good,Yes,5.7,34,5
S2229,Aisha Malhotra,Male,19,2006-05-22,11,B,Nagpur,None,Poor,Laptop,Kinesthetic,Good,Sports,74,50,36,52,88,95,65.83,6.58,Yes,66.8,60000,27155,32845,11,No,Average,Yes,3.6,33,10
S2230,Neha Nair,Male,18,2007-03-01,11,D,Delhi,Graduate,Average,None,Reading/Writing,Average,NSS,63,94,96,51,33,40,62.83,6.28,Yes,97.0,40000,29342,10658,11,No,Good,No,2.6,35,7
S2231,Karan Nair,Male,19,2005-12-13,10,B,Bengaluru,Graduate,Excellent,Phone,Visual,Good,Coding,30,95,51,35,49,61,53.5,5.35,No,61.8,100000,5825,94175,14,No,Average,No,10.0,16,1
S2232,Krisha Bhatia,Female,18,2007-10-06,12,E,Kolkata,None,Excellent,None,Kinesthetic,Poor,Sports,73,73,70,36,68,57,62.83,6.28,Yes,56.5,100000,5508,94492,26,No,Poor,No,9.3,30,1
S2233,Aisha Gupta,Male,16,2009-02-12,11,B,Hyderabad,Postgraduate,Excellent,Phone,Auditory,Poor,Sports,99,26,30,85,82,64,64.33,6.43,No,86.6,40000,35961,4039,20,No,Good,Yes,1.4,45,3
S2234,Vivaan Chopra,Female,16,2009-01-01,11,E,Mumbai,None,Good,Phone,Kinesthetic,Good,Robotics,66,97,90,55,35,47,65.0,6.5,Yes,87.3,50000,20443,29557,18,No,Average,Yes,3.0,37,10
